config,workload,case,name,case_label,shape,case_key,status,cpu_cycles,hw_cycles,speedup,speedup_x100,mismatches,source
4x4,tiny-bert,1,tinybert_l1_s128_d128_h4_ff256_cls2,S64 D128 H4 C2,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,PASS,535381788,27065654,19.78085539702828,1978,0,software/uartlog/atik_4x4/bert.txt
4x4,gpt2-prefill,0,gpt2prefill_l1_s16_d64_h4_ff128_vocab128,S16 D64 H4 V128,seq=16 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,seq=16 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,PASS,16019252,2140420,7.4841629212958205,748,0,software/uartlog/atik_4x4/gpt2.txt
4x4,gpt2-prefill,1,gpt2prefill_l1_s16_d64_h4_ff128_vocab128,S32 D64 H4 V128,seq=32 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,seq=32 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,PASS,40120658,4521365,8.873572029685725,887,0,software/uartlog/atik_4x4/gpt2.txt
4x4,gpt2-prefill,2,gpt2prefill_l1_s32_d128_h4_ff256_vocab256,S64 D128 H4 V256,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,PASS,421872551,29975799,14.073771678279535,1407,0,software/uartlog/atik_4x4/gpt2.txt
4x4,gpt2-prefill,3,gpt2prefill_l1_s64_d128_h4_ff256_vocab256,S128 D128 H4 V256,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,PASS,1202180333,73166596,16.430726570906756,1643,0,software/uartlog/atik_4x4/gpt2.txt
8x8,matmul-benchmark,0,matmul_m2_n2_k2_rng,M2 N2 K2,M=2 N=2 K=2,M=2 N=2 K=2,PASS,778,203,3.832512315270936,383,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,1,matmul_m4_n4_k4_rng,M4 N4 K4,M=4 N=4 K=4,M=4 N=4 K=4,PASS,1547,322,4.804347826086956,480,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,2,matmul_m8_n8_k8_rng,M8 N8 K8,M=8 N=8 K=8,M=8 N=8 K=8,PASS,10124,582,17.395189003436425,1740,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,3,matmul_m16_n16_k16_rng,M16 N16 K16,M=16 N=16 K=16,M=16 N=16 K=16,PASS,75728,2929,25.854557869580063,2585,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,4,matmul_m32_n32_k32_rng,M32 N32 K32,M=32 N=32 K=32,M=32 N=32 K=32,PASS,580485,19149,30.3141156196146,3031,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,5,matmul_m16_n16_k64_rng,M16 N16 K64,M=16 N=16 K=64,M=16 N=16 K=64,PASS,285606,9877,28.916270122506834,2892,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,6,matmul_m64_n16_k64_rng,M64 N16 K64,M=64 N=16 K=64,M=64 N=16 K=64,PASS,1143014,37065,30.83809523809524,3084,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,matmul-benchmark,7,matmul_m64_n64_k64_rng,M64 N64 K64,M=64 N=64 K=64,M=64 N=64 K=64,PASS,4556457,144735,31.481376308425745,3148,0,software/uartlog/atik_8x8_v2/matmul.txt
8x8,attention-benchmark,0,attention_q2_kv2_d2_v2_zero_scores,Q2 KV2 D2 V2,q=2 kv=2 d=2 value=2 causal=0,q=2 kv=2 d=2 value=2 causal=0,PASS,4263,269,15.847583643122677,1585,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,1,attention_q4_kv4_d4_v4_rng,Q4 KV4 D4 V4,q=4 kv=4 d=4 value=4 causal=0,q=4 kv=4 d=4 value=4 causal=0,PASS,23660,545,43.41284403669725,4341,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,2,causal_attention_q4_kv4_d4_v4_rng,Causal Q4 KV4 D4 V4,q=4 kv=4 d=4 value=4 causal=1,q=4 kv=4 d=4 value=4 causal=1,PASS,14932,553,27.001808318264015,2700,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,3,attention_q8_kv8_d8_v8_rng,Q8 KV8 D8 V8,q=8 kv=8 d=8 value=8 causal=0,q=8 kv=8 d=8 value=8 causal=0,PASS,194571,1365,142.54285714285714,14254,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,4,attention_q16_kv16_d16_v16_rng,Q16 KV16 D16 V16,q=16 kv=16 d=16 value=16 causal=0,q=16 kv=16 d=16 value=16 causal=0,PASS,1899949,10436,182.05720582598696,18206,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,5,causal_attention_q16_kv16_d16_v16_rng,Causal Q16 KV16 D16 V16,q=16 kv=16 d=16 value=16 causal=1,q=16 kv=16 d=16 value=16 causal=1,PASS,1039531,10414,99.82053005569426,9982,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,6,attention_q32_kv32_d32_v32_rng,Q32 KV32 D32 V32,q=32 kv=32 d=32 value=32 causal=0,q=32 kv=32 d=32 value=32 causal=0,PASS,21266450,111864,190.10986555102625,19011,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,7,attention_q64_kv64_d64_v64_rng,Q64 KV64 D64 V64,q=64 kv=64 d=64 value=64 causal=0,q=64 kv=64 d=64 value=64 causal=0,PASS,270207185,1442634,187.30127322661187,18730,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,8,attention_q128_kv128_d128_v128_rng,Q128 KV128 D128 V128,q=128 kv=128 d=128 value=128 causal=0,q=128 kv=128 d=128 value=128 causal=0,PASS,3795593677,20458830,185.52349655381076,18552,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,9,causal_attention_q128_kv128_d64_v16_rng,Causal Q128 KV128 D64 V16,q=128 kv=128 d=64 value=16 causal=1,q=128 kv=128 d=64 value=16 causal=1,PASS,150017147,1439762,104.19579555509868,10420,0,software/uartlog/atik_8x8_v2/attn.txt
8x8,attention-benchmark,10,attention_q8_kv32_d16_v64_rng,Q8 KV32 D16 V64,q=8 kv=32 d=16 value=64 causal=0,q=8 kv=32 d=16 value=64 causal=0,PASS,7141954,39167,182.3462098194909,18235,0,software/uartlog/atik_8x8_v2/attn.txt
